gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2397568370,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/31531134,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)",Oryctes rhinoceros,,JP,,Okinawa,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,26.857153,128.254529,31,,,,,,2019-08-25T21:44:00Z,25,8,2019,4995642,4995642,HUMAN_OBSERVATION,iNaturalist,Observations,31531134,,,2019-08-26T05:08:14Z,CC_BY_NC_4_0,Takaaki Hattori,Takaaki Hattori,,,2019-11-29T15:09:21.672Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1835040051,231c4696-5b2b-4702-b495-2beb86e082e4,da5009ae-ef31-11e6-8391-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)",Oryctes rhinoceros,(LINNAEUS),JP,,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,0,0,,,,,,,1987-06-01T00:00:00Z,1,6,1987,4995642,4995642,PRESERVED_SPECIMEN,IPMM,IN,117385,,,,CC_BY_4_0,,,,,2019-11-13T16:42:32.735Z,,ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH
1835040039,231c4696-5b2b-4702-b495-2beb86e082e4,da4fdfd8-ef31-11e6-a970-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)",Oryctes rhinoceros,(LINNAEUS),JP,,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,0,0,,,,,,,1987-06-01T00:00:00Z,1,6,1987,4995642,4995642,PRESERVED_SPECIMEN,IPMM,IN,117384,,,,CC_BY_4_0,,,,,2019-11-13T16:42:34.249Z,,ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH
1835039832,231c4696-5b2b-4702-b495-2beb86e082e4,da5031fe-ef31-11e6-beb3-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)",Oryctes rhinoceros,(LINNAEUS),JP,,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,0,0,,,,,,,1987-06-01T00:00:00Z,1,6,1987,4995642,4995642,PRESERVED_SPECIMEN,IPMM,IN,117386,,,,CC_BY_4_0,,,,,2019-11-13T16:42:34.255Z,,ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH
1830813119,956c26d2-d114-421f-bf02-e9088a805a74,0242110a-f8bf-11e6-85a2-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Shinto,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-08-29T00:00:00Z,29,8,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28672,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:51.970Z,,
1830813112,956c26d2-d114-421f-bf02-e9088a805a74,0241e360-f8bf-11e6-bc7d-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Shinto,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-08-29T00:00:00Z,29,8,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28671,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:53.050Z,,
1830813108,956c26d2-d114-421f-bf02-e9088a805a74,023f2f8a-f8bf-11e6-a07c-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Minamidaito-jima Island,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-06-01T00:00:00Z,1,6,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28655,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:53.044Z,,
1830813082,956c26d2-d114-421f-bf02-e9088a805a74,02418e9c-f8bf-11e6-9f57-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Shinto,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-08-29T00:00:00Z,29,8,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28669,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:53.047Z,,
1830813079,956c26d2-d114-421f-bf02-e9088a805a74,023ddc20-f8bf-11e6-8389-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Minamidaito-jima Island,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-06-01T00:00:00Z,1,6,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28647,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:53.055Z,,
1830813071,956c26d2-d114-421f-bf02-e9088a805a74,023ed684-f8bf-11e6-9a3a-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Minamidaito-jima Island,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-06-01T00:00:00Z,1,6,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28653,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:51.978Z,,
1830813061,956c26d2-d114-421f-bf02-e9088a805a74,023f885e-f8bf-11e6-b26e-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Minamidaito-jima Island,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-06-01T00:00:00Z,1,6,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28657,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:51.959Z,,
1830813059,956c26d2-d114-421f-bf02-e9088a805a74,02416548-f8bf-11e6-8213-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Shinto,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-08-29T00:00:00Z,29,8,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28668,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:53.050Z,,
1830813058,956c26d2-d114-421f-bf02-e9088a805a74,023e8120-f8bf-11e6-9e78-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Minamidaito-jima Island,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-06-01T00:00:00Z,1,6,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28651,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:52.271Z,,
1830813056,956c26d2-d114-421f-bf02-e9088a805a74,023c81b8-f8bf-11e6-83f5-70e2840fc270,Animalia,Arthropoda,Insecta,Coleoptera,Dynastidae,Oryctes,Oryctes rhinoceros,,SPECIES,"Oryctes rhinoceros (Linnaeus, 1758)","Oryctes rhinoceros (Linnaeus, 1758)","(Linnaeus, 1758)",JP,Kyuto,Okinawa,,,4fd82480-ea1c-11da-8db4-b8a03c50a862,,,,,,,,,2011-05-21T00:00:00Z,21,5,2011,4995642,4995642,PRESERVED_SPECIMEN,RUMF,ZI,RUMF-ZI-28639,,,,CC_BY_NC_4_0,,,,,2019-11-13T19:56:51.970Z,,
