Notes,Source,State,Year,Country,marker-color,marker-size,marker-symbol,lon,lat
,Catley,,1800,Bangladesh,#32cd32,,,90.2419998721,23.8456776713
,Catley,Hainan,1800,China,#32cd32,,,109.7400477837,19.1974353862
CRB-G detected by Reil et al.  2016,Catley,,1800,Thailand,#32cd32,,circle-stroked,101.0033333514,15.1143997393
,Catley,,1800,Sri Lanka,#32cd32,,,80.7031628582,7.6159146067
Formosa in Catley,Catley,,1800,Taiwan,#32cd32,medium,circle-stroked,120.9498753298,23.7529851134
Malay Peninsula in Catley,Catley,,1800,Malaysia,#32cd32,,,109.6988686366,3.7923927886
,Catley,,1800,Philippines,#32cd32,medium,,122.8744842572,11.7630150663
Burma in Catley,Catley,,1800,Myanmar,#32cd32,,,96.4892894763,21.1676699887
West Pakistan in Catley,Catley,,1800,Pakistan,#32cd32,,,69.341343274,29.9484969425
,Catley,,1800,Hong Kong,#32cd32,,,114.1314468562,22.3846368801
"Celebes in Catley; CRB-G detected in some, but not all specimens (Marshall 2017)",Catley,Sulawesi,1800,Indonesia,#32cd32,,circle-stroked,120.177835264,-3.661945786
Ceram in Catley,Catley,Seram,1800,Indonesia,#32cd32,,,129.112,-3.098
Aboina Island in Catley,Catley,Ambon Island,1800,Indonesia,#32cd32,,,128.1,-3.62
,Catley,Upolu,1909,Samoa,#FFA500,,,188.25,-13.9166666667
,Catley,Savaii,1912,Samoa,#FFA500,,,187.5833,-13.5833333333
,Catley,Tutuila,1912,American Samoa,#FFA500,,,187.3,-14.295
Keppel Island,Catley,Niuatoputapu,1921,Tonga,#FFA500,,,186.222249,-15.954282
,Catley,,1931,Wallis Island,#FFA500,,,183.8,-13.266667
,Catley,,1942,Palau,#ffa500,,circle-stroked,134.58252,7.51498
,Catley,,1942,New Britain,#FFA500,,,150.767921,-5.74659
date approx; West New Guinea in Catley,Catley,,1942,West Papua,#FFA500,,,133.174716,-1.336115
,Catley,Vavau,1952,Tonga,#FFA500,,,186.009702,-18.6227565833
,Catley,,1952,New Ireland,#FFA500,,,152,-3.33
,Catley,Viiti Levu,1952,Fiji,#FFA500,,,178.011847,-17.848319
,Catley,Pak Island,1960,New Guinea,#FFA500,,,147.635405,-2.080667
,Catley,Tongatapu,1961,Tonga,#FFA500,,,184.748452,-21.146597
,Catley,,1963,Tokelau Islands,#FFA500,,,188.1516,-9.2002
date approx.,Catley,,1918,Diego Garcia,#FFA500,,,72.422856,-7.319501
