occurence_id|bibliographicCitation
2|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-30
12|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-31
29|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-32
34|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-33
38|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-34
40|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-35
41|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-36
44|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-37
46|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-38
47|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-39
49|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-40
50|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-41
54|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-42
55|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-43
56|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-44
57|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-45
58|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-46
59|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-47
60|Catley, A. 1969. The coconut rhinoceros beetle, Oryctes rhinoceross (L). International Journal of Pest Management: Part A  15(1) 18-48
